Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,378.0,379.5,377.0,378.5,302.0347900390625,1070417
2022-01-21,377.5,377.5,374.0,377.0,300.8378601074219,2538612
2022-01-24,373.5,373.5,364.0,364.5,290.86309814453125,6133048
2022-01-25,361.0,362.5,355.0,360.0,287.2721862792969,5385570
2022-01-26,358.0,362.0,358.0,359.5,286.87322998046875,2038915
2022-02-07,361.0,364.5,359.5,364.0,290.4641418457031,2300553
2022-02-08,362.5,364.5,362.0,363.5,290.06512451171875,1213178
2022-02-09,363.0,366.0,362.0,366.0,292.0600891113281,2474792
2022-02-10,366.0,370.0,366.0,370.0,295.2519836425781,1285916
2022-02-11,366.5,368.5,366.0,367.5,293.2570495605469,1289891
2022-02-14,365.0,365.5,361.5,363.0,289.6661376953125,1363962
2022-02-15,363.0,365.5,362.0,362.5,289.26715087890625,1094538
2022-02-16,366.0,369.0,365.0,369.0,294.4540100097656,1198943
2022-02-17,370.5,373.5,369.0,371.5,296.4489440917969,1980232
2022-02-18,369.0,372.5,367.5,372.0,296.84796142578125,857097
2022-02-21,370.0,378.5,370.0,378.5,302.0347900390625,1977180
2022-02-22,377.0,378.0,373.0,377.5,301.23681640625,2418693
